caractere_attendu,caractere_predit,nombre,pourcentage
o,u,152,12.29
B,b,84,6.79
Y,y,70,5.66
à,a,70,5.66
M,m,50,4.04
ë,é,46,3.72
i,y,42,3.4
a,à,41,3.31
é,ë,38,3.07
S,s,37,2.99
u,o,36,2.91
C,c,34,2.75
D,d,30,2.43
K,k,30,2.43
X,x,28,2.26
ñ,Ñ,28,2.26
L,l,26,2.1
N,n,25,2.02
T,t,23,1.86
A,a,20,1.62
n,N,19,1.54
W,w,16,1.29
F,f,15,1.21
Ñ,ñ,14,1.13
G,g,12,0.97
t,T,10,0.81
J,j,10,0.81
b,B,9,0.73
y,i,9,0.73
m,M,9,0.73
n,y,8,0.65
w,W,8,0.65
y,Y,7,0.57
s,S,7,0.57
P,p,7,0.57
f,F,6,0.49
g,y,6,0.49
m,y,6,0.49
o,w,6,0.49
w,o,6,0.49
R,r,5,0.4
p,P,4,0.32
b,I,3,0.24
b,y,3,0.24
d,Y,3,0.24
i,I,3,0.24
c,y,3,0.24
w,u,3,0.24
k,y,3,0.24
N,w,3,0.24
s,Y,3,0.24
n,j,3,0.24
j,y,3,0.24
y,é,3,0.24
t,w,2,0.16
g,e,2,0.16
f,y,2,0.16
e,u,2,0.16
 ,.,2,0.16
n,l,2,0.16
t,y,2,0.16
B,y,2,0.16
A,à,2,0.16
g,G,2,0.16
a,A,2,0.16
M,y,2,0.16
K,w,1,0.08
e,E,1,0.08
n,a,1,0.08
n,K,1,0.08
n,ë,1,0.08
k,K,1,0.08
l,d,1,0.08
f,l,1,0.08
N,y,1,0.08
s,a,1,0.08
g,c,1,0.08
d,x,1,0.08
n,w,1,0.08
e,x,1,0.08
u,w,1,0.08
y,r,1,0.08
t,Y,1,0.08
v,i,1,0.08
L,Y,1,0.08
m,r,1,0.08
e,o,1,0.08
u,ë,1,0.08
b,W,1,0.08
u,",",1,0.08
u,a,1,0.08
Ñ,y,1,0.08
à,A,1,0.08
s,y,1,0.08
m,p,1,0.08
w,Y,1,0.08
n,d,1,0.08
m,x,1,0.08
a,é,1,0.08
S,Y,1,0.08
n,A,1,0.08
E,e,1,0.08
b,Y,1,0.08
I,y,1,0.08
b,M,1,0.08
l,L,1,0.08
n,ŋ,1,0.08
l,y,1,0.08
i,m,1,0.08
I,i,1,0.08
n,f,1,0.08
h,k,1,0.08
o,é,1,0.08
i,c,1,0.08
W,O,1,0.08
u,b,1,0.08
n,E,1,0.08
‘,«,1,0.08
d,u,1,0.08
n,e,1,0.08
ñ,y,1,0.08
À,à,1,0.08
M,Y,1,0.08
e,a,1,0.08
n,i,1,0.08
 ,t,1,0.08
t,e,1,0.08
 ,g,1,0.08
l,Y,1,0.08
e,à,1,0.08
f,w,1,0.08
I,Y,1,0.08
t,ë,1,0.08
o,y,1,0.08
